,Date,name,tweet,death,Classification
0,2020-04-08,TNTP, kenyabradshaw other experts with the blackchurchctr are talking about public education and the necessity of giving yourself grace in the midst of the covid19 pandemic http   communityvoices tntpcares coronavirus tuesdaythoughts    ,104917,pos
1,2020-04-08,Koren Shadmi, i left israel cause it was a mad mad place now the us has caught up israel health minister who claims coronavirus is divine punishment for homosexuality tests positive for covid19  ,104917,pos
2,2020-04-08,David Gokhshtein, time to put china on lockdown for its dishonesty amid coronavirus crisis covid19  ,104917,neg
3,2020-04-08,Larry Sharpe, please join me tonight 47 at 8pm et for the weekly sharpe way special last weekend today i m discussing various news clips join the livestream on this account thanks sharpeway larrysharpe libertarian liberty news media msm covid19 coronavirus  ,104917,neg
4,2020-04-08,TheAfricaCenter, have questions about covid19 watch the replay of our talk with dr udochi on facts in the time of coronavirus   stayhome,104917,pos
5,2020-04-08,Achim Steiner, to fast track our support 2 countries undp s covid19 rapid response facility approved in 12 days proposals f action in 42 countries to assist w response to coronavirus as part of integrated un response our teams 2gether w our sister agencies are helping govts to act now  ,104917,neg
6,2020-04-08,Danielle Leigh, more than 3200 direct flights from china to the us between december and march and many of them landed in the ny metro area follow the link to see how we tracked international flights as covid19 spread in the us   abc7ny jkelly3rd coronavirus,104917,pos
7,2020-04-08,"Michael A. Gayed, CFA", china the economy where covid19 initially originated posted much lower losses in q1 2020 compared to developed economies which are reeling under the losses caused by coronavirus mchi vea developed economies china losses stocks markets economy investing  ,104917,pos
8,2020-04-08,Benny, biden coronavirus adviser zeke emanuel realistically covid19 will be here for the next 18 months or more we will not be able to return to normalcy until we find a vaccine or effective medications  ,104917,neg
9,2020-04-08,Darren McQuade, happening now ambulances lining up outside of the javitscenter which has been transformed into one of the covid19 hospitals nyc coronavirususa coronavirus newyork photography sunset pix11news  ,104917,neg
10,2020-04-08,Medscape, hoping to stay ahead of the coronavirus spread melissa waltonshirley took a planned trip to israel she now realizes it was an unnecessary gamble http   covid19,104917,neg
11,2020-04-08,Newsweek, coronavirus pennsylvania updates covid19 case numbers death toll and more   utm_termautofeed utm_mediumsocial utm_sourcetwitter echobox1586290767,104917,neg
12,2020-04-08,Azi™, got to hear the cheers on her way to work tonight covid19 coronavirus  ,104917,neg
13,2020-04-08,The New York Times, many people working in the hospitals doctors nurses so many of us are parents across the us workers who are responding to the coronavirus pandemic are fighting to retain custody of their children amid fears of covid19  ,104917,pos
14,2020-04-08,Brian Schwartz, new trump ally tom barrack hired lobbyists from brownstein hyatt farber schreck to be advisors on coronavirus economic regulatory issues this comes as barrack has sounded the alarm on how the commercial mortgage market is seeing an impact from covid19   __sourcesharebartwitter parsharebar,104917,pos
15,2020-04-08,The Marshall Project, in louisiana which has the country s highest incarceration rate and one of the worst coronavirus outbreaks officials plan to isolate prisoners who test positive for covid19 in two maximumsecurity state facilities theintercept reports  ,104917,pos
16,2020-04-08,Eyewitness News, coronavirus news 7 on your side investigates covid19 testing issues    ,104917,neg
17,2020-04-08,DL Hughley, please everyone take this seriously teamdl repost realearthquake with get_repost hmmmmm covid_19 coronavirus chicago detroit neworleans sos   igshid1gl8i209vckca,104917,neg
18,2020-04-08,Femi Redwood, white house officials at covid19 news conference are trying to figure out why coronavirus disproportionately hurts the black community simple answer systematic racism there is literally tons of data on how racism effects nearly every aspect of life how is this a mystery,104917,neg
19,2020-04-08,Aaron L. Morrison, at the daily white house coronavirus task force briefing trump asks why is it that the africanamerican community is so much more than everybody else we re trying to find out then he suggested the federal raceethnicity data on covid19 will come out in next few days,104917,neg
20,2020-04-08,Eva Golinger, coronavirus westchester trader joe s closes after worker dies of covid19  ,104917,neg
21,2020-04-08,FORTUNE, tech companies fashion houses and booze brands are finding ways to help fight the effects of the covid19 pandemic these are the coronavirusrelated stories on http fortunecom today thread http    ,104917,pos
22,2020-04-08,NYU Langone Health, psychiatrist dr jess shatkin and psychologist dr lori evans discuss 4 different things you can do every day to make the current shelterinplace environment more manageable for you and your kids listen on siriusxm s nyudocs   covid19 coronavirus,104917,pos
23,2020-04-08,Andrew Holness, bekind to address stigma during coronavirus share the latest facts avoid hyperbole show solidarity with affected people tell the stories of people who have experienced the virus for more information visit http   covid19 covid19jamaica who  ,104917,pos
24,2020-04-08,SmartAsset, as one of the epicenters of the coronavirus in the us what relief programs does the state of new york offer   covid19 finance,104917,pos
25,2020-04-08,Consumer Reports Advocacy, to test facebook s policies against coronavirus misinformation cr s kavehwaddell made ads with false covid19 information facebook approved all the ads but we did not publish them here s what experts say about facebook s ad screening flaws   extkeyycradvocacy_tw,104917,neg
26,2020-04-08,Nels Cline, hal willner another life is claimed by this hideous and mysterious coronavirus covid19    ,104917,neg
27,2020-04-08,Roger C. Schonfeld, eu science chief resigns with blast at coronavirus response i have been extremely disappointed by the european response to covid19 i arrived at the erc a fervent supporter of the eu but the covid19 crisis completely changed my views   segmentidacee413199c209d3a635873e61754ec6,104917,neg
28,2020-04-08,Emma Whitford, today in covid19 touching everything environmental groups are worried that the army corps of engineers could issue a permit for a controversial mining project in alaska while their suit to block said mine is paused bc of coronavirus  ,104917,neg
29,2020-04-08,NBC Investigations, from cynthiamcfadden therealferg and didimartinez5 more than 20 very sick coronavirus patients have been injected with a convalescent serum based on the blood plasma of people who have recovered from covid19  ,104917,neg
30,2020-04-08,EpiscopalRelief, in this time of uncertainty let us remember to trust god you are not alone togetherapart coronavirus covid19 prayer prayfortheworld  ,104917,neg
31,2020-04-08,CBS New York, color and coronavirus evidence is mounting that people of color have been disproportionately affected by the covid19 outbreak in new york city   mkramertv,104917,pos
32,2020-04-08,Consumer Reports, as the novel coronavirus spreads throughout the country so does misinformation about the pandemic cr investigative journalist rachelpeachman uncovers the answer to an important question covid19  ,104917,pos
33,2020-04-08,Spectrum News NY1, because there is still very little data around the use of hydroxychloroquine to treat covid19 one doctor we spoke with said it should be administered with caution and used only for those with a confirmed case of the coronavirus  ,104917,neg
34,2020-04-08,Forbes, a virologist explains why covid19 coronavirus isn t really dangerously lingering on surfaces for weeks http   forbesfrontlines  ,104917,pos
35,2020-04-08,POZ Magazine, an aids service provider pivots to open a covid19 triage clinic trentonstraube   community coronavirus covid2019,104917,pos
36,2020-04-08,Sahara Reporters, breaking nigeria records 16 new coronavirus cases as toll rises to 254 sahara reporters the new cases are spread across lagos delta oyo kastina and the federal capital territory covid19 ncdcgov read more    ,104917,pos
37,2020-04-08,Bill Hutchinson, while i am sympathetic to the defendant s understandable anxiety about covid19 he has not established compelling reasons warranting his release judge rejects r kelly s request to get out of jail over coronavirus fears via jameshillabc abcnews  ,104917,pos
