,Date,name,tweet,death,Classification
0,2020-03-31,Michelle Arezou Ross, breathtaking photos feeling a sense of american pride when i see these images usnscomfort hospitalship coronavirus covid19 reuters  ,63818,neg
1,2020-03-31,Township of Verona, dear verona residents this afternoon the montclair health department updated the number of residents of verona who have tested positive with novel coronavirus disease 2019 covid19 to seventeen 17 this   igshid1eyniv6y3eqoa,63818,pos
2,2020-03-31,Joe Borelli, sad we must discuss this but firstresponders city state essential workers must be given full line of duty death benefits per their contracts if they succumb to covid19 it must be presumed that they contracted it while working for the public period coronavirus nyc  ,63818,neg
3,2020-03-31,Anie Akpe, you can t make this ish up covid19 coronavirus pressconference  ,63818,pos
4,2020-03-31,Anie Akpe, trump said my hair is blowing around and it s mine in the middle of the pressconference thelockdown coronavirus covid19,63818,neg
5,2020-03-30,Mona Salama, after speaking with the attending physician by phone i was diagnosed with presumed coronavirus infection at the advice of the attending physician neither covid 19 laboratory testing nor a doctor s office visit was recommended  ,63818,neg
6,2020-03-30,Darren McQuade, photo navy sailor stands in front of the usscomfort which arrived in nyc today comfort coronavirusnewyork covid19 coronavirus photography pix11news  ,63818,pos
7,2020-03-30,Darren McQuade, groups of people are ignoring socialdistancing and gathering in the few spots where you can get a glimpse of the usscomfort police told people to disperse comfort nyc covid19 coronavirus newyork pix11news  ,63818,neg
8,2020-03-30,Lee Abbamonte, makeshift hospital in the east meadow of central park nyc to handle overflow covid19 patients from nearby mount sinai hospital godspeed to all this is madness coronavirus  ,63818,neg
9,2020-03-30,Ryan Kristafer, shout out to brooklyn s beatthebombnyc for donating thousands of protective suits gloves and face shields to local nyc hospitals coronavirus covid19 kerrydrewtv biancapeters8  ,63818,pos
10,2020-03-30,Roland Wyn Jones 🏴󠁧󠁢󠁷󠁬󠁳󠁿&🇬🇧&🇺🇸in🗽, really great to see usnscomfort on its way up the hudson river to dock in newyork this morning mondaymorning coronavirus covid19 usnscomfort usnavy  ,63818,pos
11,2020-03-30,Mikey Kay, covid_19 30 march statement from icrc on covid conflict zones thread in displacement camps physical distancing is not possible and we fear it will be impossible to stop the spread of coronavirus once it enters a camp indeed we fear the virus will spread rapidly 2  ,63818,neg
12,2020-03-30,jennbisramtv, nyc coronavirus update as of 6pm sunday there were 33474 people citywide who tested positive for covid19 sadly 776people died 6250 in the bronx 8887 in brooklyn 5582 in manhattan 10737 in queens 1984 in staten island nycmayor pix11news stayhome stopthespread,63818,pos
13,2020-03-30,Paul Glader, silver lining in coronavirus i always printed thekingscollege students papers marked them up and handed them back in person covid_19 forced me to start grading them digitally and i have to say grading them on our lms works great it saves me time and it saves paper,63818,pos
14,2020-03-30,Joe Borelli, a sad scene at brooklyn hospital covid_19 coronavirus  ,63818,neg
15,2020-03-30,Anie Akpe, pressconference trump basically calling out new york on equipment being delivered trying to say it s a quality control issue coronavirus covid_19 coronaupdate,63818,neg
16,2020-03-30,Kyle Mazza, updated fair lawn nj now has 117 cases of covid19 coronavirus  ,63818,neg
17,2020-03-30,ISIAH JAMES🌹, while most new yorkers are sheltering inside congresswoman yvette clarke offered her constituents a novel way to contract coronavirus our leaders shouldn t be telling folks to be on the streets in the midst of a pandemic covid19 stayhomesavelives  ,63818,pos
18,2020-03-29,Joshua Hoyos, de blasio nyc represents the epicenter of the nation s covid19 crisis with over 32000 cases in the city and nearly 700 dead in the last 24 hours 161 people were reported dead from the coronavirus in new york city,63818,pos
19,2020-03-29,Joshua Hoyos, thinking of her work family at cbsnews maria was 54 and died from the covid19 coronavirus in a new york hospital she had been on medical leave for an unrelated matter since the last week in february maria fought cancer and related illnesses for more than 20 years  ,63818,pos
20,2020-03-29,Danny Peña, week 3 coronavirus covid_19 socialdistancing nyc nycshutdown  ,63818,neg
21,2020-03-29,Anie Akpe, meanwhile in some placescountries people are still gathering and using god as the reason for having regular worship services self serving purposes is all i see covid_19 coronavirus coronaupdate  ,63818,pos
22,2020-03-29,Joshua Hoyos, cuomo nearly 60000 cases of covid19 in new york state 965 people have died in nys from coronavirus,63818,pos
23,2020-03-29,Esther Agbarakwe, in 30 min we join our global community to take a moment to honor those at the frontlines of the fight against coronavirus covid_19 earthhour  ,63818,pos
24,2020-03-29,Dawn Kopecki, if you live in nyc and have so much as a sniffle and answer all the questions in the new apple coronavirus app this is what you get covid19 stayathome selfisolate  ,63818,pos
25,2020-03-29,Kyle Mazza, updated fair lawn nj now has 95 cases of covid19 coronavirus,63818,neg
26,2020-03-28,Dr. Mike Varshavski, set a reminder for the premiere here   i ll be there to chat at 9am est coronavirus covid19 fauci alertnotanxious  ,63818,pos
27,2020-03-28,Paul Glader, also i am already looking forward to the stream of coronavirusmemes and gifs around haircuts in the time of coronavirus coronalockdown covid19 covid_19 covid socialdistancing saturdaythoughts coronavirusoutbreak coronaviruspandemic  ,63818,pos
28,2020-03-28,Juan Manuel Benítez, yesterday i spoke with marklevinenyc about his coronavirus symptoms nyc open playgrounds and how nycgov and whitehouse are doing in this covid19 crisis en espanol ny1noticias  ,63818,neg
29,2020-03-28,Kevin Rincon, 52318 positive cases of covid19 have now been reported in new york governor cuomo reports 728 deaths statewide tied to the coronavirus outbreak,63818,pos
30,2020-03-28,Kevin Rincon, 67 people died in nyc overnight from covid19 there have now been 517 fatalities tied to the coronavirus in the city along with a total of 29158 confirmed cases,63818,neg
31,2020-03-28,Paul Glader, why mister rogers is worth watching during coronavirus quarantines   here is my take on why fred rogers is a good cultural antidote during covid19 covid_19 coronavirususa coronavirusnewyork coronavirusupdate stayathomeandstaysafe saturdaymotivation,63818,neg
32,2020-03-28,Joshua Hoyos, cuomo the apex remains to be 1421 days changes on the modeling forecasts covid19 coronavirus,63818,neg
33,2020-03-28,Danny Peña, week 2 in nyc coronavirus covid_19 nycshutdown  ,63818,neg
34,2020-03-28,Left Voice, healthcare workers and community members held an action at jacobi medical center in the bronx to speak out against inadequate ppe staffing and supplies during the coronavirus crisis sean petty rn in the pediatric emergency room at jacobi hospital getmeppe covid_19  ,63818,pos
35,2020-03-28,Ryan Riback, stayhome covid_19 coronavirus new york new york   igshids6323e2qvmyt,63818,pos
36,2020-03-28,Darren McQuade, the javitscenter one of the worlds largest event spaces has been transformed into a 1000 bed overflow hospital to help fight coronavirus nygovcuomo is trying to open 4 more makeshift hospitals one in each nyc borough jamesfordtv covid_19 covid2019 ny pix11news  ,63818,neg
37,2020-03-28,Joshua Hoyos, there are at least 100717 positive cases of covid19 in the united states according to john s hopkins university s tally coronavirus,63818,pos
38,2020-03-28,Joshua Hoyos, de blasio says april 5 is the day he is worried about no longer having the resources new york city needs to fight the coronavirus covid19,63818,pos
39,2020-03-27,Greg Krieg, pressley who had flulike symptoms and has been selfquarantining negative for the coronavirus i am relieved to report that i have tested negative for covid19 statement  ,63818,neg
40,2020-03-27,John Lennon Bus, what johnlennon song is getting you through this difficult time bobgruen01 johnlennon thebeatles coronavirus covid19 peace imagine imaginepeace cometogether stuckathome quarantine musicislife  ,63818,neg
